policy_concept,policy_concept_description,subtheme,theme
Hold AI companies liable for harm they cause,Hold the companies that build and deploy AI liable for the harms their products cause,Protecting people and nature from the effects of AI,Making rules for AI companies
Set rules for where AI can be used safely,Set domain-specific rules that keep human judgment in the decisions that most affect people's lives,Regulating how AI works and where it’s used,Making rules for AI companies
Protect people and nature from the resource needs of data centers,"Regulate the environmental and community impacts of data centers, with disclosure of water and energy use and notice before new sites are built",Protecting people and nature from the effects of AI,Making rules for AI companies
Make companies follow rules and be open about how they handle personal data,"Require companies to be transparent about how they collect and use personal data, and to use it only for the purposes they disclose",Empowering people to protect their data,Protecting our way of life
Make companies reskill or give career help to workers who lose their jobs to AI,"Fund reskilling and career-transition pathways proven to move displaced workers into durable jobs, tied to real hiring needs",Protecting jobs and workers,Protecting our way of life
Set rules around how AI works,"Require transparency into how AI systems operate and make decisions, so their workings are open to scrutiny rather than a black box",Regulating how AI works and where it’s used,Making rules for AI companies
"Deter layoffs because of AI, reward firms that keep or add workers",Reward firms for retaining and hiring workers rather than mandating against AI-driven layoffs,Protecting jobs and workers,Protecting our way of life
Make AI policymaking more open to the public,Keep AI policymaking open to the public and representative--not dominated by the industry it governs,Making sure the public has their say on AI impacts that affect them,Protecting our way of life
Set rules for labeling when AI is used,Require clear disclosure whenever people are dealing with AI or AI-generated content,Preserving the rights of humans to choose and decide,Protecting our way of life
Restrict and tax AI companies’ profits,"Address the concentration of AI's economic gains, including how AI companies and the wealth they generate are taxed",Regulating how AI works and where it’s used,Making rules for AI companies
Support independent research on AI's effects,"Support independent, peer-reviewed research on AI's real-world effects to inform policy, rather than relying on claims from the companies that build it",Increasing AI research and literacy,Learning about and adapting to AI
Hold AI companies liable if they use the work of others without permission,"Protect creators' intellectual property by requiring consent, credit, and compensation when their work is used to train or generate AI",Regulating how AI works and where it’s used,Making rules for AI companies
"Limit what personal data AI systems can collect, and let users manage their data","Limit how much personal data AI systems can collect, curbing surveillance, tracking, and the harvesting of biometric and location data, and give people the ability to view, copy, and delete their data from AI use",Empowering people to protect their data,Protecting our way of life
Improve AI education in schools,"Prepare students to understand and navigate AI, while setting age-appropriate rules for its use in schools",Protecting kids and education,Protecting our way of life
Make people aware of how to use AI ethically,Fund independent public education on using AI--not campaigns run by the AI companies themselves,Increasing AI research and literacy,Learning about and adapting to AI
Pay workers who lose jobs due to AI while they find new jobs,"Provide an economic safety net for workers displaced by AI, from retraining and wage support to broader income-security measures",Protecting jobs and workers,Protecting our way of life
Make sure privacy is protected,"Establish strong privacy protections for personal data, including safeguards against facial recognition and the cross-referencing of sensitive information",Empowering people to protect their data,Protecting our way of life
Use AI to improve how government works,"Use AI to improve public services and government efficiency, with the human oversight and data safeguards to deploy it responsibly",Regulating how AI works and where it’s used,Making rules for AI companies
Support AI training for workers,Build retraining and career pathways so existing and displaced workers have stronger support to advance or transition,Increasing AI research and literacy,Learning about and adapting to AI
Allow people to opt out of AI and make that easier,"Guarantee a right to opt out of AI, including keeping non-AI versions of essential tools and services available",Empowering people to protect their data,Protecting our way of life
Strengthen parental controls for AI use,"Establish protections for minors using AI, including parental consent, age limits, and safeguards for how child-facing AI is designed",Protecting kids and education,Protecting our way of life
"Keep humans in the loop as decision-makers, don't rely solely on AI","Keep humans meaningfully involved in high-stakes workflows and decisions rather than relying on AI alone, with clear accountability",Preserving the rights of humans to choose and decide,Protecting our way of life
Fund programs for human connection and life outside of AI,"Safeguard space for human connection and life outside of AI, applying lessons from the social-media era to AI's rapid rollout",Preserving the rights of humans to choose and decide,Protecting our way of life
Make sure students don't use AI to avoid learning,"Set rules that preserve genuine learning and academic integrity as students use AI, from assessment design to the tools schools adopt",Protecting kids and education,Protecting our way of life
Keep companies from firing or punishing workers for not using AI,Protect workers from being fired or penalized for declining to use AI tools,Protecting jobs and workers,Protecting our way of life
Track and report on job loss due to AI,"Track and publicly report AI's effect on jobs, so displacement is measured with evidence rather than left to competing claims",Protecting jobs and workers,Protecting our way of life
Use AI for jobs people don’t want to do or can’t do,"Direct AI toward tasks that are dangerous, undesirable, or unfilled, and toward augmenting workers rather than replacing them",Protecting jobs and workers,Protecting our way of life
